invite_id,email,city,cohort,wave,status,invite_date,activated_at,notes
wave-1-CBR-001,REPLACE_WITH_REAL_EMAIL,Canberra,pilot-2026q1,wave-1,queued,2026-02-25,,
wave-1-SYD-001,REPLACE_WITH_REAL_EMAIL,Sydney,pilot-2026q1,wave-1,queued,2026-02-25,,
wave-1-CBR-002,REPLACE_WITH_REAL_EMAIL,Canberra,pilot-2026q1,wave-1,queued,2026-02-25,,
wave-1-SYD-002,REPLACE_WITH_REAL_EMAIL,Sydney,pilot-2026q1,wave-1,queued,2026-02-25,,
wave-1-CBR-003,REPLACE_WITH_REAL_EMAIL,Canberra,pilot-2026q1,wave-1,queued,2026-02-25,,
wave-1-SYD-003,REPLACE_WITH_REAL_EMAIL,Sydney,pilot-2026q1,wave-1,queued,2026-02-25,,
wave-1-CBR-004,REPLACE_WITH_REAL_EMAIL,Canberra,pilot-2026q1,wave-1,queued,2026-02-25,,
wave-1-SYD-004,REPLACE_WITH_REAL_EMAIL,Sydney,pilot-2026q1,wave-1,queued,2026-02-25,,
wave-1-CBR-005,REPLACE_WITH_REAL_EMAIL,Canberra,pilot-2026q1,wave-1,queued,2026-02-25,,
wave-1-SYD-005,REPLACE_WITH_REAL_EMAIL,Sydney,pilot-2026q1,wave-1,queued,2026-02-25,,
wave-1-CBR-006,REPLACE_WITH_REAL_EMAIL,Canberra,pilot-2026q1,wave-1,queued,2026-02-26,,
wave-1-SYD-006,REPLACE_WITH_REAL_EMAIL,Sydney,pilot-2026q1,wave-1,queued,2026-02-26,,
wave-1-CBR-007,REPLACE_WITH_REAL_EMAIL,Canberra,pilot-2026q1,wave-1,queued,2026-02-26,,
wave-1-SYD-007,REPLACE_WITH_REAL_EMAIL,Sydney,pilot-2026q1,wave-1,queued,2026-02-26,,
wave-1-CBR-008,REPLACE_WITH_REAL_EMAIL,Canberra,pilot-2026q1,wave-1,queued,2026-02-26,,
wave-1-SYD-008,REPLACE_WITH_REAL_EMAIL,Sydney,pilot-2026q1,wave-1,queued,2026-02-26,,
wave-1-CBR-009,REPLACE_WITH_REAL_EMAIL,Canberra,pilot-2026q1,wave-1,queued,2026-02-26,,
wave-1-SYD-009,REPLACE_WITH_REAL_EMAIL,Sydney,pilot-2026q1,wave-1,queued,2026-02-26,,
wave-1-CBR-010,REPLACE_WITH_REAL_EMAIL,Canberra,pilot-2026q1,wave-1,queued,2026-02-26,,
wave-1-SYD-010,REPLACE_WITH_REAL_EMAIL,Sydney,pilot-2026q1,wave-1,queued,2026-02-26,,
wave-1-CBR-011,REPLACE_WITH_REAL_EMAIL,Canberra,pilot-2026q1,wave-1,queued,2026-02-27,,
wave-1-SYD-011,REPLACE_WITH_REAL_EMAIL,Sydney,pilot-2026q1,wave-1,queued,2026-02-27,,
wave-1-CBR-012,REPLACE_WITH_REAL_EMAIL,Canberra,pilot-2026q1,wave-1,queued,2026-02-27,,
wave-1-SYD-012,REPLACE_WITH_REAL_EMAIL,Sydney,pilot-2026q1,wave-1,queued,2026-02-27,,
wave-1-CBR-013,REPLACE_WITH_REAL_EMAIL,Canberra,pilot-2026q1,wave-1,queued,2026-02-27,,
wave-1-SYD-013,REPLACE_WITH_REAL_EMAIL,Sydney,pilot-2026q1,wave-1,queued,2026-02-27,,
wave-1-CBR-014,REPLACE_WITH_REAL_EMAIL,Canberra,pilot-2026q1,wave-1,queued,2026-02-27,,
wave-1-SYD-014,REPLACE_WITH_REAL_EMAIL,Sydney,pilot-2026q1,wave-1,queued,2026-02-27,,
wave-1-CBR-015,REPLACE_WITH_REAL_EMAIL,Canberra,pilot-2026q1,wave-1,queued,2026-02-27,,
wave-1-SYD-015,REPLACE_WITH_REAL_EMAIL,Sydney,pilot-2026q1,wave-1,queued,2026-02-27,,
wave-1-CBR-016,REPLACE_WITH_REAL_EMAIL,Canberra,pilot-2026q1,wave-1,queued,2026-02-28,,
wave-1-SYD-016,REPLACE_WITH_REAL_EMAIL,Sydney,pilot-2026q1,wave-1,queued,2026-02-28,,
wave-1-CBR-017,REPLACE_WITH_REAL_EMAIL,Canberra,pilot-2026q1,wave-1,queued,2026-02-28,,
wave-1-SYD-017,REPLACE_WITH_REAL_EMAIL,Sydney,pilot-2026q1,wave-1,queued,2026-02-28,,
wave-1-CBR-018,REPLACE_WITH_REAL_EMAIL,Canberra,pilot-2026q1,wave-1,queued,2026-02-28,,
wave-1-SYD-018,REPLACE_WITH_REAL_EMAIL,Sydney,pilot-2026q1,wave-1,queued,2026-02-28,,
wave-1-CBR-019,REPLACE_WITH_REAL_EMAIL,Canberra,pilot-2026q1,wave-1,queued,2026-02-28,,
wave-1-SYD-019,REPLACE_WITH_REAL_EMAIL,Sydney,pilot-2026q1,wave-1,queued,2026-02-28,,
wave-1-CBR-020,REPLACE_WITH_REAL_EMAIL,Canberra,pilot-2026q1,wave-1,queued,2026-02-28,,
wave-1-SYD-020,REPLACE_WITH_REAL_EMAIL,Sydney,pilot-2026q1,wave-1,queued,2026-02-28,,
