invite_id,email,city,cohort,wave,status,invite_date,activated_at,notes
wave-1-CBR-001,pilot.canberra01@verity.date,Canberra,pilot-2026q1,wave-1,queued,2026-02-24,,
wave-1-SYD-001,pilot.sydney01@verity.date,Sydney,pilot-2026q1,wave-1,queued,2026-02-24,,
wave-1-CBR-002,pilot.canberra02@verity.date,Canberra,pilot-2026q1,wave-1,queued,2026-02-24,,
wave-1-SYD-002,pilot.sydney02@verity.date,Sydney,pilot-2026q1,wave-1,queued,2026-02-24,,
wave-1-CBR-003,pilot.canberra03@verity.date,Canberra,pilot-2026q1,wave-1,queued,2026-02-24,,
wave-1-SYD-003,pilot.sydney03@verity.date,Sydney,pilot-2026q1,wave-1,queued,2026-02-24,,
wave-1-CBR-004,pilot.canberra04@verity.date,Canberra,pilot-2026q1,wave-1,queued,2026-02-24,,
wave-1-SYD-004,pilot.sydney04@verity.date,Sydney,pilot-2026q1,wave-1,queued,2026-02-24,,
wave-1-CBR-005,pilot.canberra05@verity.date,Canberra,pilot-2026q1,wave-1,queued,2026-02-24,,
wave-1-SYD-005,pilot.sydney05@verity.date,Sydney,pilot-2026q1,wave-1,queued,2026-02-24,,
wave-1-CBR-006,pilot.canberra06@verity.date,Canberra,pilot-2026q1,wave-1,queued,2026-02-25,,
wave-1-SYD-006,pilot.sydney06@verity.date,Sydney,pilot-2026q1,wave-1,queued,2026-02-25,,
wave-1-CBR-007,pilot.canberra07@verity.date,Canberra,pilot-2026q1,wave-1,queued,2026-02-25,,
wave-1-SYD-007,pilot.sydney07@verity.date,Sydney,pilot-2026q1,wave-1,queued,2026-02-25,,
wave-1-CBR-008,pilot.canberra08@verity.date,Canberra,pilot-2026q1,wave-1,queued,2026-02-25,,
wave-1-SYD-008,pilot.sydney08@verity.date,Sydney,pilot-2026q1,wave-1,queued,2026-02-25,,
wave-1-CBR-009,pilot.canberra09@verity.date,Canberra,pilot-2026q1,wave-1,queued,2026-02-25,,
wave-1-SYD-009,pilot.sydney09@verity.date,Sydney,pilot-2026q1,wave-1,queued,2026-02-25,,
wave-1-CBR-010,pilot.canberra10@verity.date,Canberra,pilot-2026q1,wave-1,queued,2026-02-25,,
wave-1-SYD-010,pilot.sydney10@verity.date,Sydney,pilot-2026q1,wave-1,queued,2026-02-25,,
wave-1-CBR-011,pilot.canberra11@verity.date,Canberra,pilot-2026q1,wave-1,queued,2026-02-26,,
wave-1-SYD-011,pilot.sydney11@verity.date,Sydney,pilot-2026q1,wave-1,queued,2026-02-26,,
wave-1-CBR-012,pilot.canberra12@verity.date,Canberra,pilot-2026q1,wave-1,queued,2026-02-26,,
wave-1-SYD-012,pilot.sydney12@verity.date,Sydney,pilot-2026q1,wave-1,queued,2026-02-26,,
wave-1-CBR-013,pilot.canberra13@verity.date,Canberra,pilot-2026q1,wave-1,queued,2026-02-26,,
wave-1-SYD-013,pilot.sydney13@verity.date,Sydney,pilot-2026q1,wave-1,queued,2026-02-26,,
wave-1-CBR-014,pilot.canberra14@verity.date,Canberra,pilot-2026q1,wave-1,queued,2026-02-26,,
wave-1-SYD-014,pilot.sydney14@verity.date,Sydney,pilot-2026q1,wave-1,queued,2026-02-26,,
wave-1-CBR-015,pilot.canberra15@verity.date,Canberra,pilot-2026q1,wave-1,queued,2026-02-26,,
wave-1-SYD-015,pilot.sydney15@verity.date,Sydney,pilot-2026q1,wave-1,queued,2026-02-26,,
wave-1-CBR-016,pilot.canberra16@verity.date,Canberra,pilot-2026q1,wave-1,queued,2026-02-27,,
wave-1-SYD-016,pilot.sydney16@verity.date,Sydney,pilot-2026q1,wave-1,queued,2026-02-27,,
wave-1-CBR-017,pilot.canberra17@verity.date,Canberra,pilot-2026q1,wave-1,queued,2026-02-27,,
wave-1-SYD-017,pilot.sydney17@verity.date,Sydney,pilot-2026q1,wave-1,queued,2026-02-27,,
wave-1-CBR-018,pilot.canberra18@verity.date,Canberra,pilot-2026q1,wave-1,queued,2026-02-27,,
wave-1-SYD-018,pilot.sydney18@verity.date,Sydney,pilot-2026q1,wave-1,queued,2026-02-27,,
wave-1-CBR-019,pilot.canberra19@verity.date,Canberra,pilot-2026q1,wave-1,queued,2026-02-27,,
wave-1-SYD-019,pilot.sydney19@verity.date,Sydney,pilot-2026q1,wave-1,queued,2026-02-27,,
wave-1-CBR-020,pilot.canberra20@verity.date,Canberra,pilot-2026q1,wave-1,queued,2026-02-27,,
wave-1-SYD-020,pilot.sydney20@verity.date,Sydney,pilot-2026q1,wave-1,queued,2026-02-27,,
